ship_type,SHIPNAME,SHIP_ID,LAT,LON,dist_value,DATETIME,max_dist,max_DATETIME
Cargo,KAROLI,2764,54.54369,18.80568,3094.7225921723348,2016-12-19T12:59:02Z,3094.7225921723348,2016-12-19T12:59:02Z
Cargo,KEGUMS,306484,59.91596,30.02845,315.0223069885384,2016-12-13T21:31:04Z,931.5620515730304,2016-12-13T21:33:03Z
Cargo,KEGUMS,306484,59.91918,30.01302,931.5620515730304,2016-12-13T21:33:03Z,931.5620515730304,2016-12-13T21:33:03Z
Cargo,KERLI,3338,54.73725,18.97902,0,2016-12-17T07:59:01Z,2682.7042312356625,2016-12-17T08:01:02Z
Cargo,KERLI,3338,54.76132,18.98187,2682.7042312356625,2016-12-17T08:01:02Z,2682.7042312356625,2016-12-17T08:01:02Z
Cargo,KNOSSOS,547677,59.89617,30.21417,340.41474765317196,2016-12-16T09:51:04Z,666.8184755654933,2016-12-16T09:53:03Z
Cargo,KNOSSOS,547677,59.89115,30.20763,666.8184755654933,2016-12-16T09:53:03Z,666.8184755654933,2016-12-16T09:53:03Z
Cargo,KONYA,2006,55.72832,21.06178,0,2016-12-15T16:17:06Z,1295.7223438970602,2016-12-15T16:19:07Z
Cargo,KONYA,2006,55.72777,21.08245,1295.7223438970602,2016-12-15T16:19:07Z,1295.7223438970602,2016-12-15T16:19:07Z
Cargo,KOZNITZA,461192,54.63397,19.93747,323.28444977566164,2016-12-20T09:11:03Z,3244.4409360514937,2016-12-20T09:31:03Z
Cargo,KOZNITZA,461192,54.6377,19.98747,3244.4409360514937,2016-12-20T09:31:03Z,3244.4409360514937,2016-12-20T09:31:03Z
Cargo,KYMOPOLIA,714454,54.4211,18.846,0,2016-12-16T12:55:01Z,3269.980262678741,2016-12-16T12:57:02Z
Cargo,KYMOPOLIA,714454,54.42725,18.89543,3269.980262678741,2016-12-16T12:57:02Z,3269.980262678741,2016-12-16T12:57:02Z
Cargo,LADY AMI,3574326,57.98264,12.12585,0,2016-12-19T12:27:08Z,1566.0317363621323,2016-12-19T12:33:05Z
Cargo,LADY AMI,3574326,57.99671,12.12702,1566.0317363621323,2016-12-19T12:33:05Z,1566.0317363621323,2016-12-19T12:33:05Z
Cargo,LANTAU ARROW,716099,54.5937,18.8818,0,2016-12-13T12:49:02Z,2668.991183270485,2016-12-13T12:51:02Z
Cargo,LANTAU ARROW,716099,54.57534,18.85512,2668.991183270485,2016-12-13T12:51:02Z,2668.991183270485,2016-12-13T12:51:02Z
Cargo,LARGONA,467978,55.65171,21.15729,127.98594371128144,2016-12-17T09:57:06Z,2063.977652045429,2016-12-17T10:07:06Z
Cargo,LARGONA,467978,55.6684,21.14289,2063.977652045429,2016-12-17T10:07:06Z,2063.977652045429,2016-12-17T10:07:06Z
Cargo,LAVAUX,332129,59.90585,30.07876,285.6435359562955,2016-12-14T22:27:04Z,916.4187709611988,2016-12-14T22:29:03Z
Cargo,LAVAUX,332129,59.90895,30.06353,916.4187709611988,2016-12-14T22:29:03Z,916.4187709611988,2016-12-14T22:29:03Z
Cargo,LAZURITE,347528,59.91562,30.03036,634.488069006858,2016-12-20T05:33:04Z,1299.6403136004058,2016-12-20T05:35:03Z
Cargo,LAZURITE,347528,59.91127,30.052,1299.6403136004058,2016-12-20T05:35:03Z,1299.6403136004058,2016-12-20T05:35:03Z
Cargo,LECKO,222824,57.61483,11.67417,1696.0731607140283,2016-12-20T10:11:05Z,5028.761428931433,2016-12-20T10:27:05Z
Cargo,LECKO,222824,57.65167,11.72317,5028.761428931433,2016-12-20T10:27:05Z,5028.761428931433,2016-12-20T10:27:05Z
Cargo,LILY-B,458566,54.76496,18.98556,0,2016-12-15T23:11:01Z,1887.8072129439856,2016-12-15T23:13:02Z
Cargo,LILY-B,458566,54.76741,18.95644,1887.8072129439856,2016-12-15T23:13:02Z,1887.8072129439856,2016-12-15T23:13:02Z
Cargo,LINDA,6500,55.8541,20.839,0,2016-12-15T12:57:06Z,2525.8307620767714,2016-12-15T12:59:07Z
Cargo,LINDA,6500,55.83518,20.86139,2525.8307620767714,2016-12-15T12:59:07Z,2525.8307620767714,2016-12-15T12:59:07Z
Cargo,LINGEDIJK,264274,54.7002,18.99814,421.6246421028927,2016-12-14T11:55:02Z,9099.396100243883,2016-12-14T12:47:02Z
Cargo,LINGEDIJK,264274,54.78203,18.99932,9099.396100243883,2016-12-14T12:47:02Z,9099.396100243883,2016-12-14T12:47:02Z
Cargo,LISA,360595,54.55636,18.82552,0,2016-12-15T13:09:01Z,1430.92627496168,2016-12-15T13:11:02Z
Cargo,LISA,360595,54.54704,18.81022,1430.92627496168,2016-12-15T13:11:02Z,1430.92627496168,2016-12-15T13:11:02Z
Cargo,LISA D,361457,54.7411,18.74127,649.376643636927,2016-12-16T02:59:07Z,1298.1837572638772,2016-12-16T03:01:01Z
Cargo,LISA D,361457,54.73518,18.7587,1298.1837572638772,2016-12-16T03:01:01Z,1298.1837572638772,2016-12-16T03:01:01Z
Cargo,LISTER,205767,59.92163,30.00039,611.6408182939903,2016-12-19T03:15:04Z,1137.8286069671801,2016-12-19T03:17:03Z
Cargo,LISTER,205767,59.91781,30.01933,1137.8286069671801,2016-12-19T03:17:03Z,1137.8286069671801,2016-12-19T03:17:03Z
Cargo,LIV KRISTIN,205637,54.6979,18.96096,0,2016-12-16T18:07:01Z,2683.9143063243473,2016-12-16T18:09:02Z
Cargo,LIV KRISTIN,205637,54.71239,18.92755,2683.9143063243473,2016-12-16T18:09:02Z,2683.9143063243473,2016-12-16T18:09:02Z
Cargo,LIVA GRETA,352321,54.67803,18.99798,413.44033073624746,2016-12-16T19:53:02Z,158459.3421284314,2016-12-17T05:11:06Z
Cargo,LIVA GRETA,352321,55.66075,20.80509,158459.3421284314,2016-12-17T05:11:06Z,158459.3421284314,2016-12-17T05:11:06Z
Cargo,LURO,222372,57.8895,12.03617,940.1259496609231,2016-12-15T05:55:08Z,1343.639803518706,2016-12-15T05:57:05Z
Cargo,LURO,222372,57.87833,12.0275,1343.639803518706,2016-12-15T05:57:05Z,1343.639803518706,2016-12-15T05:57:05Z
Cargo,LYRA,363818,55.66217,21.14783,399.5708958025264,2016-12-14T18:27:07Z,1355.2865195707434,2016-12-14T18:33:07Z
Cargo,LYRA,363818,55.67367,21.14067,1355.2865195707434,2016-12-14T18:33:07Z,1355.2865195707434,2016-12-14T18:33:07Z
Cargo,MAERSK NIAMEY,686278,59.91205,30.04847,0,2016-12-20T09:55:04Z,2709.2750928422283,2016-12-20T10:03:03Z
Cargo,MAERSK NIAMEY,686278,59.92105,30.0033,2709.2750928422283,2016-12-20T10:03:03Z,2709.2750928422283,2016-12-20T10:03:03Z
Cargo,MAERSKMCKINNEYMOLLER,155711,54.45481,18.99613,1119.974952526353,2016-12-19T09:41:02Z,36600.37016242105,2016-12-19T10:57:02Z
Cargo,MAERSKMCKINNEYMOLLER,155711,54.78387,18.98247,36600.37016242105,2016-12-19T10:57:02Z,36600.37016242105,2016-12-19T10:57:02Z
